wro4j(12),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.25,0.25,0.25
2%=0.02,0.3333333432674408,0.4166666567325592,0.4166666567325592
3%=0.03,0.5833333134651184,0.5833333134651184,0.6666666865348816
4%=0.04,0.8333333134651184,0.9166666865348816,0.9166666865348816
5%=0.05,1.0,1.0,1.0
6%=0.06,1.0,1.0,1.0
7%=0.07,1.0,1.0,1.0
8%=0.08,1.0,1.0,1.0
9%=0.09,1.0,1.0,1.0
10%=0.1,1.0,1.0,1.0
11%=0.11,1.0,1.0,1.0
12%=0.12,1.0,1.0,1.0
13%=0.13,1.0,1.0,1.0
14%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
